Index,X(m),Y(m),Z(m),u(pixel),v(pixel)
#1,0,49.865,1234.627,748.3817592,342.7033209
#2,4.448,52.982,1234.825,969.3928558,298.3551212
#3,11.292,51.155,1234.559,1301.443817,326.5172549
#4,16.136,54.618,1235.607,1510.137631,243.992808
#5,20.475,48.654,1234.502,1762.822471,353.095773
#6,-1.113,12.541,1234.67,475.855642,1095.372438
#7,6.026,9.09,1234.891,1161.414138,1197.655834
#8,10.059,12.187,1234.693,1516.82391,1079.963845
#9,13.544,4.644,1237.106,2041.187214,1160.344098
#10,18.687,13.739,1234.551,2241.610513,1016.471675
#11,3.21,48.907,1234.615,908.5928883,353.2250826
#12,3.339,14.439,1234.614,896.1822129,1020.44154
